;rt_user;t_user;user_id;retweet_count;favorite_count;created_at;retweeted;hashtags;user_mentions;text
120;CyberBienveillance;MaunaTraikia;1,60843E+18;4;0;Mon Mar 20 21:00:58 +0000 2023;True;[{'text': 'BreakingNews', 'indices': [18, 31]}];[{'screen_name': 'MaunaTraikia', 'name': 'Mauna Traikia 🇫🇷 🇪🇺 🌍🧩', 'id': 66381016, 'id_str': '66381016', 'indices': [3, 16]}];RT @MaunaTraikia: #BreakingNews 2D contrat de filière industrie de la sécurité lancé. Construire les territoires de confiance une industrie…
121;Leyla Yasar;bfmbusiness;1,38862E+18;2;0;Mon Mar 20 19:52:56 +0000 2023;True;[];[{'screen_name': 'bfmbusiness', 'name': 'BFM Business', 'id': 140776364, 'id_str': '140776364', 'indices': [3, 15]}];"RT @bfmbusiness: 💬 Réforme des retraites: ""Nous avons mis 7 milliards d'euros d'accompagnement social, c'est généreux et nécessaire""

 ➡ @B…"
122;solange kieffer;AdeMontchalin;8,20298E+17;20;0;Mon Mar 20 18:32:46 +0000 2023;True;[];[{'screen_name': 'AdeMontchalin', 'name': 'Amélie de Montchalin', 'id': 800435764966215680, 'id_str': '800435764966215680', 'indices': [3, 17]}];RT @AdeMontchalin: Souveraineté industrielle et numérique, climat, soutien de 🇺🇦, développement en Afrique, cohésion sociale : ce sont les…
123;Alex historiker;AdeMontchalin;1,27173E+18;20;0;Mon Mar 20 18:29:03 +0000 2023;True;[];[{'screen_name': 'AdeMontchalin', 'name': 'Amélie de Montchalin', 'id': 800435764966215680, 'id_str': '800435764966215680', 'indices': [3, 17]}];RT @AdeMontchalin: Souveraineté industrielle et numérique, climat, soutien de 🇺🇦, développement en Afrique, cohésion sociale : ce sont les…
124;Mathias Cormann;AdeMontchalin;43304756;20;0;Mon Mar 20 18:05:10 +0000 2023;True;[];[{'screen_name': 'AdeMontchalin', 'name': 'Amélie de Montchalin', 'id': 800435764966215680, 'id_str': '800435764966215680', 'indices': [3, 17]}];RT @AdeMontchalin: Souveraineté industrielle et numérique, climat, soutien de 🇺🇦, développement en Afrique, cohésion sociale : ce sont les…
125;Bibounette31;BFMTV;9,17673E+17;29;0;Mon Mar 20 17:58:18 +0000 2023;True;[];[{'screen_name': 'BFMTV', 'name': 'BFMTV', 'id': 133663801, 'id_str': '133663801', 'indices': [3, 9]}, {'screen_name': 'BrunoLeMaire', 'name': 'Bruno Le Maire', 'id': 374184532, 'id_str': '374184532', 'indices': [91, 104]}];"RT @BFMTV: 💬 ""La Banque de France confirme que l'inflation devrait refluer vers mi-2023""

➡@BrunoLeMaire, ministre de l’Économie, des Finan…"
126;Gaël Sérandour;BdT_Normandie;56204478;1;0;Mon Mar 20 17:03:51 +0000 2023;True;[{'text': 'THD', 'indices': [90, 94]}];[{'screen_name': 'BdT_Normandie', 'name': 'Frédéric Noël', 'id': 1048195103607672832, 'id_str': '1048195103607672832', 'indices': [3, 17]}];"RT @BdT_Normandie: ⏰ RDV à ne pas manquer : demain les Etats Généraux des RIP à Deauville #THD.
Cédric Clément, responsable Cyber &amp; souvera…"
128;Fabienne Mathet;AdeMontchalin;4857744741;20;0;Mon Mar 20 15:39:32 +0000 2023;True;[];[{'screen_name': 'AdeMontchalin', 'name': 'Amélie de Montchalin', 'id': 800435764966215680, 'id_str': '800435764966215680', 'indices': [3, 17]}];RT @AdeMontchalin: Souveraineté industrielle et numérique, climat, soutien de 🇺🇦, développement en Afrique, cohésion sociale : ce sont les…
129;Marie poule Wrhm;AdeMontchalin;4322478492;20;0;Mon Mar 20 15:12:12 +0000 2023;True;[];[{'screen_name': 'AdeMontchalin', 'name': 'Amélie de Montchalin', 'id': 800435764966215680, 'id_str': '800435764966215680', 'indices': [3, 17]}];RT @AdeMontchalin: Souveraineté industrielle et numérique, climat, soutien de 🇺🇦, développement en Afrique, cohésion sociale : ce sont les…
130;Nine;AdeMontchalin;1,61536E+18;20;0;Mon Mar 20 15:05:51 +0000 2023;True;[];[{'screen_name': 'AdeMontchalin', 'name': 'Amélie de Montchalin', 'id': 800435764966215680, 'id_str': '800435764966215680', 'indices': [3, 17]}];RT @AdeMontchalin: Souveraineté industrielle et numérique, climat, soutien de 🇺🇦, développement en Afrique, cohésion sociale : ce sont les…
