;rt_user;t_user;user_id;retweet_count;favorite_count;created_at;retweeted;hashtags;user_mentions;text
1;Mireille Bonnin;InfraNum;1485337621;2;0;Thu Mar 30 08:23:44 +0000 2023;True;[];[{'screen_name': 'InfraNum', 'name': 'InfraNum', 'id': 928030280, 'id_str': '928030280', 'indices': [3, 12]}, {'screen_name': 'jlsalla', 'name': 'jean-luc sallaberry', 'id': 979376355304452097, 'id_str': '979376355304452097', 'indices': [84, 92]}, {'screen_name': 'fnccr', 'name': 'FNCCR', 'id': 510382623, 'id_str': '510382623', 'indices': [95, 101]}];"RT @InfraNum: ➡️ Discours d'ouverture sur les enjeux de souveraineté européenne par @jlsalla - @fnccr.
🎤Les datacenters publics territoriau…"
2;10.000 Codeurs;InfraNum;7,18291E+17;2;0;Thu Mar 30 08:04:25 +0000 2023;True;[];[{'screen_name': 'InfraNum', 'name': 'InfraNum', 'id': 928030280, 'id_str': '928030280', 'indices': [3, 12]}, {'screen_name': 'jlsalla', 'name': 'jean-luc sallaberry', 'id': 979376355304452097, 'id_str': '979376355304452097', 'indices': [84, 92]}, {'screen_name': 'fnccr', 'name': 'FNCCR', 'id': 510382623, 'id_str': '510382623', 'indices': [95, 101]}];"RT @InfraNum: ➡️ Discours d'ouverture sur les enjeux de souveraineté européenne par @jlsalla - @fnccr.
🎤Les datacenters publics territoriau…"
4;Mahjoub BAYASSINE;Alexis_IZARD;9,04251E+17;7;0;Thu Mar 30 04:21:28 +0000 2023;True;[];[{'screen_name': 'Alexis_IZARD', 'name': 'Alexis Izard', 'id': 757825981310574592, 'id_str': '757825981310574592', 'indices': [3, 16]}, {'screen_name': 'Techinnov', 'name': 'Techinnov', 'id': 236832262, 'id_str': '236832262', 'indices': [34, 44]}, {'screen_name': 'cciessonne', 'name': 'CCI Essonne', 'id': 234741349, 'id_str': '234741349', 'indices': [94, 105]}];"RT @Alexis_IZARD: 🚀🚀 En direct de @Techinnov, grand événement technologie et innovation de la @cciessonne ! 

Des projets innovants et des…"
5;MO Cazer;Alexis_IZARD;606246406;0;0;Thu Mar 30 03:55:57 +0000 2023;True;[];[{'screen_name': 'Alexis_IZARD', 'name': 'Alexis Izard', 'id': 757825981310574592, 'id_str': '757825981310574592', 'indices': [3, 16]}];"RT @Alexis_IZARD: Reprendre une entreprise est une aventure exceptionnelle ! 

C’est aussi la clé pour protéger les emplois, favoriser les…"
7;Richard S.;FCazals;437351026;1;0;Wed Mar 29 23:47:12 +0000 2023;True;[];[{'screen_name': 'FCazals', 'name': 'François Cazals', 'id': 4471191, 'id_str': '4471191', 'indices': [3, 11]}];RT @FCazals: Google propose un indicateur de souveraineté numérique pour ses clients qui serait inquiet par l’application du Cloud Act en F…
8;Digital France School;Alexis_IZARD;1,00751E+18;7;0;Wed Mar 29 22:12:37 +0000 2023;True;[];[{'screen_name': 'Alexis_IZARD', 'name': 'Alexis Izard', 'id': 757825981310574592, 'id_str': '757825981310574592', 'indices': [3, 16]}, {'screen_name': 'Techinnov', 'name': 'Techinnov', 'id': 236832262, 'id_str': '236832262', 'indices': [34, 44]}, {'screen_name': 'cciessonne', 'name': 'CCI Essonne', 'id': 234741349, 'id_str': '234741349', 'indices': [94, 105]}];"RT @Alexis_IZARD: 🚀🚀 En direct de @Techinnov, grand événement technologie et innovation de la @cciessonne ! 

Des projets innovants et des…"
9;Bot Cyber-News 🏴‍☠️🇫🇷;marcoessomba;1,47217E+18;1;0;Wed Mar 29 22:00:03 +0000 2023;True;[{'text': 'CYBERSECURITE', 'indices': [70, 84]}, {'text': 'SOUVERAINETÉ', 'indices': [87, 100]}, {'text': 'GOUVERNANCE', 'indices': [103, 115]}];[{'screen_name': 'marcoessomba', 'name': 'Marco Essomba', 'id': 3123025469, 'id_str': '3123025469', 'indices': [3, 16]}];"RT @marcoessomba: PAROLES D'EXPERTS, TV EMISSION N°5, SAISON 2 [🇫🇷] | #CYBERSECURITE | #SOUVERAINETÉ | #GOUVERNANCE

Plus notre société se…"
11;Progressum;iDFRights;118988930;3;0;Wed Mar 29 20:59:26 +0000 2023;True;[];[{'screen_name': 'iDFRights', 'name': 'institute for Digital Fundamental Rights', 'id': 1246544499855278081, 'id_str': '1246544499855278081', 'indices': [3, 13]}, {'screen_name': 'B_SMART_TV', 'name': 'B SMART', 'id': 1262701894868389888, 'id_str': '1262701894868389888', 'indices': [29, 40]}, {'screen_name': 'JeanMarieCAVADA', 'name': 'Jean-Marie CAVADA', 'id': 378480926, 'id_str': '378480926', 'indices': [50, 66]}];RT @iDFRights: Lundi 20 mars @B_SMART_TV recevait @JeanMarieCAVADA : souveraineté numérique, droits voisins, données personnelles... 👉 A (r…
12;Pierre KUCHLY;Alexis_IZARD;164313583;7;0;Wed Mar 29 19:50:50 +0000 2023;True;[];[{'screen_name': 'Alexis_IZARD', 'name': 'Alexis Izard', 'id': 757825981310574592, 'id_str': '757825981310574592', 'indices': [3, 16]}, {'screen_name': 'Techinnov', 'name': 'Techinnov', 'id': 236832262, 'id_str': '236832262', 'indices': [34, 44]}, {'screen_name': 'cciessonne', 'name': 'CCI Essonne', 'id': 234741349, 'id_str': '234741349', 'indices': [94, 105]}];"RT @Alexis_IZARD: 🚀🚀 En direct de @Techinnov, grand événement technologie et innovation de la @cciessonne ! 

Des projets innovants et des…"
13;Dignilog;iDFRights;1,51316E+18;3;0;Wed Mar 29 19:22:57 +0000 2023;True;[];[{'screen_name': 'iDFRights', 'name': 'institute for Digital Fundamental Rights', 'id': 1246544499855278081, 'id_str': '1246544499855278081', 'indices': [3, 13]}, {'screen_name': 'B_SMART_TV', 'name': 'B SMART', 'id': 1262701894868389888, 'id_str': '1262701894868389888', 'indices': [29, 40]}, {'screen_name': 'JeanMarieCAVADA', 'name': 'Jean-Marie CAVADA', 'id': 378480926, 'id_str': '378480926', 'indices': [50, 66]}];RT @iDFRights: Lundi 20 mars @B_SMART_TV recevait @JeanMarieCAVADA : souveraineté numérique, droits voisins, données personnelles... 👉 A (r…
