user_id;user_name;rt_user;retweet_count;favorite_count;created_at;retweeted;hashtags;user_mentions;text
2770138752;Cedr33k;Cedr33K;2;0;Tue Mar 28 17:23:08 +0000 2023;True;[];[{'screen_name': 'EcoleHexagone', 'name': 'École Hexagone', 'id': 1254711943908274177, 'id_str': '1254711943908274177', 'indices': [3, 17]}, {'screen_name': 'ssoumier', 'name': 'Stephane Soumier', 'id': 306673171, 'id_str': '306673171', 'indices': [21, 30]}, {'screen_name': 'Seby2027', 'name': 'Sébastien DHÉRINES 🇫🇷🥃', 'id': 28346746, 'id_str': '28346746', 'indices': [38, 47]}, {'screen_name': 'B_SMART_TV', 'name': 'B SMART', 'id': 1262701894868389888, 'id_str': '1262701894868389888', 'indices': [92, 103]}];RT @EcoleHexagone: 🎥 @ssoumier a reçu @Seby2027 dans son émission Smart Morning Soumier sur @B_SMART_TV pour évoquer la souveraineté numéri…
1400533414483202051;Morgan4121OM;MORGAN;7;0;Tue Mar 28 17:22:39 +0000 2023;True;[];[{'screen_name': 'Alexis_IZARD', 'name': 'Alexis Izard', 'id': 757825981310574592, 'id_str': '757825981310574592', 'indices': [3, 16]}, {'screen_name': 'Techinnov', 'name': 'Techinnov', 'id': 236832262, 'id_str': '236832262', 'indices': [34, 44]}, {'screen_name': 'cciessonne', 'name': 'CCI Essonne', 'id': 234741349, 'id_str': '234741349', 'indices': [94, 105]}];"RT @Alexis_IZARD: 🚀🚀 En direct de @Techinnov, grand événement technologie et innovation de la @cciessonne ! 

Des projets innovants et des…"
560320919;missblabla75;missblabla75;3;0;Tue Mar 28 17:08:55 +0000 2023;True;[];[{'screen_name': 'GeoffroyRDB', 'name': 'Geoffroy Roux de Bézieux', 'id': 1168426548, 'id_str': '1168426548', 'indices': [3, 15]}, {'screen_name': 'cpoyau', 'name': 'Christian Poyau', 'id': 393661361, 'id_str': '393661361', 'indices': [50, 57]}, {'screen_name': 'medef', 'name': 'Mouvement des Entreprises de France', 'id': 15969561, 'id_str': '15969561', 'indices': [98, 104]}];RT @GeoffroyRDB: Dès le début de mon mandat, avec @cpoyau, qui préside la commission numérique du @medef, on s’est fixé comme objectif de m…
1484615844726546434;MetropoliticBot;Metropolitic Nantes 🔁 Robot de retweet;1;0;Tue Mar 28 16:59:06 +0000 2023;True;[];[{'screen_name': 'GeismarLuc', 'name': 'GEISMAR Luc', 'id': 865700310131630080, 'id_str': '865700310131630080', 'indices': [3, 14]}];RT @GeismarLuc: Audition de Bruno Le Maire ministre de l’économie, des finances et de la souveraineté industrielle et numérique, sur la réf…
865700310131630080;GeismarLuc;GEISMAR Luc;1;1;Tue Mar 28 16:48:42 +0000 2023;False;[];[];Audition de Bruno Le Maire ministre de l’économie, des finances et de la souveraineté industrielle et numérique, sur la réforme des règles du Pacte de stabilité et de croissance, l’harmonisation fiscale et la politique industrielle européennes https://t.co/nPVOptUiKw
606246406;mo_cazer;MO Cazer;7;0;Tue Mar 28 16:33:13 +0000 2023;True;[];[{'screen_name': 'Alexis_IZARD', 'name': 'Alexis Izard', 'id': 757825981310574592, 'id_str': '757825981310574592', 'indices': [3, 16]}, {'screen_name': 'Techinnov', 'name': 'Techinnov', 'id': 236832262, 'id_str': '236832262', 'indices': [34, 44]}, {'screen_name': 'cciessonne', 'name': 'CCI Essonne', 'id': 234741349, 'id_str': '234741349', 'indices': [94, 105]}];"RT @Alexis_IZARD: 🚀🚀 En direct de @Techinnov, grand événement technologie et innovation de la @cciessonne ! 

Des projets innovants et des…"
910557985;jean_paul_perro;Perroc;7;0;Tue Mar 28 16:26:16 +0000 2023;True;[];[{'screen_name': 'Alexis_IZARD', 'name': 'Alexis Izard', 'id': 757825981310574592, 'id_str': '757825981310574592', 'indices': [3, 16]}, {'screen_name': 'Techinnov', 'name': 'Techinnov', 'id': 236832262, 'id_str': '236832262', 'indices': [34, 44]}, {'screen_name': 'cciessonne', 'name': 'CCI Essonne', 'id': 234741349, 'id_str': '234741349', 'indices': [94, 105]}];"RT @Alexis_IZARD: 🚀🚀 En direct de @Techinnov, grand événement technologie et innovation de la @cciessonne ! 

Des projets innovants et des…"
1314929826059481088;TimBouzon;Tim Bouzon Ⓜ️;42;0;Tue Mar 28 16:21:29 +0000 2023;True;[{'text': 'SouverainetéNumérique', 'indices': [94, 116]}];[{'screen_name': 'LopezLiguori', 'name': 'Aurélien Lopez-Liguori', 'id': 985438173831618560, 'id_str': '985438173831618560', 'indices': [3, 16]}];"RT @LopezLiguori: 🔴Victoire !

L’Assemblée Nationale a adopté le premier amendement du groupe #SouverainetéNumérique que je préside.

Cet a…"
393661361;cpoyau;Christian Poyau;3;0;Tue Mar 28 16:08:33 +0000 2023;True;[];[{'screen_name': 'GeoffroyRDB', 'name': 'Geoffroy Roux de Bézieux', 'id': 1168426548, 'id_str': '1168426548', 'indices': [3, 15]}, {'screen_name': 'cpoyau', 'name': 'Christian Poyau', 'id': 393661361, 'id_str': '393661361', 'indices': [50, 57]}, {'screen_name': 'medef', 'name': 'Mouvement des Entreprises de France', 'id': 15969561, 'id_str': '15969561', 'indices': [98, 104]}];RT @GeoffroyRDB: Dès le début de mon mandat, avec @cpoyau, qui préside la commission numérique du @medef, on s’est fixé comme objectif de m…
757825981310574592;Alexis_IZARD;Alexis Izard;7;18;Tue Mar 28 16:02:37 +0000 2023;False;[];[{'screen_name': 'Techinnov', 'name': 'Techinnov', 'id': 236832262, 'id_str': '236832262', 'indices': [16, 26]}, {'screen_name': 'cciessonne', 'name': 'CCI Essonne', 'id': 234741349, 'id_str': '234741349', 'indices': [76, 87]}, {'screen_name': 'cciessonne', 'name': 'CCI Essonne', 'id': 234741349, 'id_str': '234741349', 'indices': [227, 238]}];"🚀🚀 En direct de @Techinnov, grand événement technologie et innovation de la @cciessonne ! 

Des projets innovants et des acteurs passionnés au service de notre souveraineté et de nos transitions numérique et écologique.

Bravo @cciessonne 💪 https://t.co/lz0YQYNfkM"
2783506577;NLichtensztein;Nathalie Lichtensztein;5;0;Tue Mar 28 15:56:47 +0000 2023;True;[];[{'screen_name': 'AssembleeNat', 'name': 'Assemblée nationale', 'id': 242694507, 'id_str': '242694507', 'indices': [3, 16]}];RT @AssembleeNat: 🔴 Réforme des règles du Pacte de stabilité et de croissance, harmonisation fiscale et politique industrielle européennes…
1298200165669572608;ClineRUIZ1;Céline RUIZ;5;0;Tue Mar 28 15:43:02 +0000 2023;True;[];[{'screen_name': 'AssembleeNat', 'name': 'Assemblée nationale', 'id': 242694507, 'id_str': '242694507', 'indices': [3, 16]}];RT @AssembleeNat: 🔴 Réforme des règles du Pacte de stabilité et de croissance, harmonisation fiscale et politique industrielle européennes…
4835916558;LaMouetteODF;La Mouette ;1;2;Tue Mar 28 15:39:49 +0000 2023;False;[{'text': 'COOLDays', 'indices': [75, 84]}];[{'screen_name': 'SouveraineTech', 'name': 'Souveraine Tech', 'id': 1256644369077219328, 'id_str': '1256644369077219328', 'indices': [88, 103]}];"Il est question de souveraineté numérique aux COOL Days bien évidemment 💪

#COOLDays cc @SouveraineTech https://t.co/EKzoNtO2yC"
695748543131348993;CBoissimon;Christophe Boissimon;5;0;Tue Mar 28 15:39:22 +0000 2023;True;[];[{'screen_name': 'AssembleeNat', 'name': 'Assemblée nationale', 'id': 242694507, 'id_str': '242694507', 'indices': [3, 16]}];RT @AssembleeNat: 🔴 Réforme des règles du Pacte de stabilité et de croissance, harmonisation fiscale et politique industrielle européennes…
978298291770273793;AN_AfEur;Commission des affaires européennes;5;0;Tue Mar 28 15:35:30 +0000 2023;True;[];[{'screen_name': 'AssembleeNat', 'name': 'Assemblée nationale', 'id': 242694507, 'id_str': '242694507', 'indices': [3, 16]}];RT @AssembleeNat: 🔴 Réforme des règles du Pacte de stabilité et de croissance, harmonisation fiscale et politique industrielle européennes…
